# Thesis Device Words Configuration
# Format: term,canonical_device
# If term == canonical_device, it declares a canonical device
# If term != canonical_device, it's a synonym for the canonical device

# Core figurative / imagistic devices
metaphor,metaphor
metaphors,metaphor
metaphoric,metaphor
paranomasia,paranomasia
paronomastic,paranomasia
simile,simile
imagery,imagery
symbol,symbolism
symbols,symbolism
symbolism,symbolism
anaphora,anaphora
anaphoric,anaphora
oxymoron,oxymoron
oxymorons,oxymoron
oxymoronic,oxymoron
synecdoche,synecdoche
synecdochic,synecdoche
metonym,metonymy
metonymy,metonymy
metonymic,metonymy
synesthesia,synesthesia
synesthetic,synesthesia
pathetic fallacy,pathetic fallacy
image,imagery
hyperbole,hyperbole
hyperboles,hyperbole
personification,personification
personifications,personification
allegorical symbolism,symbolism
allegory,allegory
allegories,allegory
zoomorphication,zoomorphication
antithesis,antithesis
antitheses,antithesis
antithetical,antithesis
antithetically,antithesis
setting,setting
action,action
plot,plot
character,character
characterization,characterization

# Diction / syntax / basic craft
diction,diction
syntax,syntax
chiasmus,chiasmus
chiastic,chiasmus
chiastically,chiasmus
tone,tone
description,description
classification,classification
enumeration,enumeration
enumerating,enumeration
enumerate,enumeration
list,list
listing,listing
exemplification,exemplification
narration,narration
narrative,narrative
narratives,narrative
story,story
stories,story
anecdote,anecdote
anecdotes,anecdote
anecdotal,anecdote

# From the workbook list: argument / logic / modes
definition,definition
comparison,comparison
comparisons,comparison
contrast,contrast
contrasts,contrast
contrasted,contrast
contrasting,contrast
imperative,imperative
declarative,declarative
hortative,hortative
interrogative,interrogative
paradox,paradox
paradoxes,paradox
analogy,analogy
analogies,analogy
allusion,allusion
allusions,allusion
repetition,repetition
repetitions,repetition
bathos,bathos
data,data
statistic,statistics
statistics,statistics
hypophora,hypophora
false dilemma,false dilemma
false dilemmas,false dilemma
binary,binary
dichotomy,dichotomy
bifurcation,bifurcation
conflation,conflation
cause,cause
causal,causal
argument,argument
arguments,argument
argumentation,argumentation
process,process
example,example
examples,example

# Fallacies / appeals / "move" words (we just care that they're rhetorical)
appeal,appeal
appeals,appeal
strawman,strawman
slippery slope,slippery slope
red herring,red herring
hypothetical situation,hypothetical situations
hypothetical situations,hypothetical situations
straw man argument,strawman
straw man arguments,strawman
